@relation car

@attribute buying {4,3,2,1}
@attribute maint {4,3,2,1}
@attribute doors {2,3,4,5,6}
@attribute persons {2,4,6}
@attribute lug_boot {1,2,3}
@attribute safety {1,2,3}
@attribute class {1,2,3,4}

@data
4,4,2,2,1,1,1
4,4,2,2,1,2,1
4,4,2,2,1,3,1
4,4,2,2,2,1,1
4,4,2,2,2,2,1
4,4,2,2,2,3,1
4,4,2,2,3,1,1
4,4,2,2,3,2,1
4,4,2,2,3,3,1
4,4,2,4,1,1,1
4,4,2,4,1,2,1
4,4,2,4,1,3,1
4,4,2,4,2,1,1
4,4,2,4,2,2,1
4,4,2,4,2,3,1
4,4,2,4,3,1,1
4,4,2,4,3,2,1
4,4,2,4,3,3,1
4,4,2,6,1,1,1
4,4,2,6,1,2,1
4,4,2,6,1,3,1
4,4,2,6,2,1,1
4,4,2,6,2,2,1
4,4,2,6,2,3,1
4,4,2,6,3,1,1
4,4,2,6,3,2,1
4,4,2,6,3,3,1
4,4,3,2,1,1,1
4,4,3,2,1,2,1
4,4,3,2,1,3,1
4,4,3,2,2,1,1
4,4,3,2,2,2,1
4,4,3,2,2,3,1
4,4,3,2,3,1,1
4,4,3,2,3,2,1
4,4,3,2,3,3,1
4,4,3,4,1,1,1
4,4,3,4,1,2,1
4,4,3,4,1,3,1
4,4,3,4,2,1,1
4,4,3,4,2,2,1
4,4,3,4,2,3,1
4,4,3,4,3,1,1
4,4,3,4,3,2,1
4,4,3,4,3,3,1
4,4,3,6,1,1,1
4,4,3,6,1,2,1
4,4,3,6,1,3,1
4,4,3,6,2,1,1
4,4,3,6,2,2,1
4,4,3,6,2,3,1
4,4,3,6,3,1,1
4,4,3,6,3,2,1
4,4,3,6,3,3,1
4,4,4,2,1,1,1
4,4,4,2,1,2,1
4,4,4,2,1,3,1
4,4,4,2,2,1,1
4,4,4,2,2,2,1
4,4,4,2,2,3,1
4,4,4,2,3,1,1
4,4,4,2,3,2,1
4,4,4,2,3,3,1
4,4,4,4,1,1,1
4,4,4,4,1,2,1
4,4,4,4,1,3,1
4,4,4,4,2,1,1
4,4,4,4,2,2,1
4,4,4,4,2,3,1
4,4,4,4,3,1,1
4,4,4,4,3,2,1
4,4,4,4,3,3,1
4,4,4,6,1,1,1
4,4,4,6,1,2,1
4,4,4,6,1,3,1
4,4,4,6,2,1,1
4,4,4,6,2,2,1
4,4,4,6,2,3,1
4,4,4,6,3,1,1
4,4,4,6,3,2,1
4,4,4,6,3,3,1
4,4,56,2,1,1,1
4,4,56,2,1,2,1
4,4,56,2,1,3,1
4,4,56,2,2,1,1
4,4,56,2,2,2,1
4,4,56,2,2,3,1
4,4,56,2,3,1,1
4,4,56,2,3,2,1
4,4,56,2,3,3,1
4,4,56,4,1,1,1
4,4,56,4,1,2,1
4,4,56,4,1,3,1
4,4,56,4,2,1,1
4,4,56,4,2,2,1
4,4,56,4,2,3,1
4,4,56,4,3,1,1
4,4,56,4,3,2,1
4,4,56,4,3,3,1
4,4,56,6,1,1,1
4,4,56,6,1,2,1
